zone,district,cat1,cat2,cat3,cat4,other,total
กรุงเทพเหนือ,จตุจักร,89,26,213,157,4,489
กรุงเทพตะวันออก,ประเวศ,60,12,151,94,0,317
กรุงเทพเหนือ,บางเขน,28,14,146,114,0,302
กรุงเทพเหนือ,สายไหม,46,10,131,92,2,281
ธนบุรีใต้,บางแค,38,5,140,95,0,278
กรุงเทพตะวันออก,บางกะปิ,50,12,125,85,2,274
กรุงเทพกลาง,ห้วยขวาง,50,7,89,93,1,240
กรุงเทพใต้,สวนหลวง,38,16,103,76,2,235
กรุงเทพใต้,วัฒนา,49,8,87,87,1,232
กรุงเทพเหนือ,ดอนเมือง,24,11,101,82,5,223
กรุงเทพตะวันออก,คลองสามวา,33,11,102,69,3,218
กรุงเทพเหนือ,ลาดพร้าว,34,12,97,72,0,215
กรุงเทพกลาง,วังทองหลาง,33,7,97,69,1,207
กรุงเทพกลาง,ดินแดง,37,9,86,75,0,207
กรุงเทพใต้,พระโขนง,49,7,80,69,0,205
กรุงเทพใต้,บางนา,35,9,83,68,1,196
ธนบุรีใต้,ภาษีเจริญ,29,5,78,81,2,195
ธนบุรีใต้,บางขุนเทียน,25,14,83,72,1,195
กรุงเทพเหนือ,บางซื่อ,26,11,87,61,1,186
ธนบุรีเหนือ,จอมทอง,22,6,101,53,1,183
ธนบุรีเหนือ,ธนบุรี,33,4,80,63,0,180
กรุงเทพตะวันออก,ลาดกระบัง,29,7,79,63,0,178
กรุงเทพใต้,คลองเตย,42,5,69,52,1,169
กรุงเทพตะวันออก,บึงกุ่ม,19,4,81,61,0,165
ธนบุรีเหนือ,บางพลัด,24,13,76,49,0,162
กรุงเทพตะวันออก,มีนบุรี,29,6,62,63,1,161
ธนบุรีใต้,ทุ่งครุ,26,12,72,47,0,157
ธนบุรีใต้,หนองแขม,22,10,85,38,1,156
กรุงเทพตะวันออก,สะพานสูง,27,6,73,49,0,155
กรุงเทพเหนือ,หลักสี่,24,8,67,52,0,151
กรุงเทพกลาง,พญาไท,13,8,74,53,0,148
กรุงเทพใต้,สาทร,19,5,66,52,1,143
กรุงเทพใต้,ยานนาวา,12,5,66,51,0,134
ธนบุรีเหนือ,บางกอกน้อย,14,4,61,51,0,130
กรุงเทพกลาง,ราชเทวี,21,5,54,47,1,128
ธนบุรีใต้,บางบอน,13,2,60,46,0,121
ธนบุรีเหนือ,ตลิ่งชัน,14,8,54,35,0,111
ธนบุรีเหนือ,ทวีวัฒนา,11,6,65,22,0,104
กรุงเทพใต้,บางรัก,23,4,43,33,0,103
ธนบุรีเหนือ,คลองสาน,14,4,43,42,0,103
กรุงเทพใต้,บางคอแหลม,16,4,47,35,0,102
กรุงเทพตะวันออก,คันนายาว,14,2,48,34,0,98
กรุงเทพตะวันออก,หนองจอก,9,5,48,23,0,85
ธนบุรีใต้,ราษฎร์บูรณะ,17,2,35,28,0,82
ธนบุรีเหนือ,บางกอกใหญ่,11,5,40,21,0,77
กรุงเทพกลาง,ดุสิต,14,1,34,27,0,76
กรุงเทพใต้,ปทุมวัน,7,4,34,22,0,67
กรุงเทพกลาง,พระนคร,4,1,35,14,0,54
กรุงเทพกลาง,ป้อมปราบศัตรูพ่าย,7,0,24,12,0,43
กรุงเทพกลาง,สัมพันธวงศ์,4,5,6,2,0,17
